INSERT INTO orders
VALUES
("7950", "14", "3", "OP56GHI", "900", "4941.00", "some order descriptions here", "2023-01-01 11:09:17", "2023-01-15", "2023-01-29", "COMPLETED"),
("7951", "9", "2", "XW34VBN", "1200", "5988.00", "", "2023-01-01 16:05:21", "2023-01-16", "2023-01-30", "COMPLETED"),
("7952", "6", "2", "IJ90UVW", "1750", "6982.50", "", "2023-01-01 16:14:53", "2023-01-16", "2023-01-30", "COMPLETED"),
("7953", "3", "2", "PL87KJ9", "800", "1992.00", "", "2023-01-01 22:42:05", "2023-01-16", "2023-01-30", "COMPLETED"),
("7954", "17", "2", "RF56KJU", "1650", "5428.50", "", "2023-01-02 11:32:41", "2023-01-16", "2023-01-30", "COMPLETED"),
("7955", "21", "3", "RF56KJU", "400", "1316.00", "", "2023-01-03 00:17:26", "2023-01-16", "2023-01-30", "COMPLETED"),
("7956", "14", "2", "RF56KJU", "1100", "3619.00", "", "2023-01-03 04:41:03", "2023-01-16", "2023-01-30", "COMPLETED"),
("7957", "2", "3", "KL12ABC", "750", "3592.50", "some order descriptions here", "2023-01-03 05:33:10", "2023-01-16", "2023-01-30", "COMPLETED"),
("7958", "9", "2", "MN45TYU", "150", "1048.50", "", "2023-01-03 06:09:15", "2023-01-16", "2023-01-30", "COMPLETED"),
("7959", "16", "3", "OP56GHI", "1550", "8509.50", "", "2023-01-03 10:52:46", "2023-01-17", "2023-01-31", "COMPLETED"),
("7960", "22", "4", "QR78JKL", "1800", "11682.00", "", "2023-01-03 13:13:02", "2023-01-17", "2023-01-31", "CANCELLED"),
("7961", "7", "4", "EF56OPQ", "850", "8491.50", "", "2023-01-03 19:44:21", "2023-01-17", "2023-01-31", "COMPLETED"),
("7962", "20", "4", "OP56GHI", "1350", "7411.50", "", "2023-01-03 20:06:16", "2023-01-17", "2023-01-31", "COMPLETED"),
("7963", "8", "4", "QW34ERT", "700", "4193.00", "some order descriptions here", "2023-01-04 00:37:28", "2023-01-17", "2023-01-31", "COMPLETED"),
("7964", "10", "3", "IJ90UVW", "450", "1795.50", "some order descriptions here", "2023-01-04 03:27:59", "2023-01-17", "2023-01-31", "CANCELLED"),
("7965", "14", "3", "MN45TYU", "400", "2796.00", "", "2023-01-04 10:29:33", "2023-01-18", "2023-02-01", "CANCELLED"),
("7966", "11", "3", "ST90PQR", "1300", "15587.00", "", "2023-01-05 00:59:49", "2023-01-18", "2023-02-01", "COMPLETED"),
("7967", "17", "4", "GH78RST", "1500", "11235.00", "", "2023-01-05 01:06:21", "2023-01-18", "2023-02-01", "COMPLETED"),
("7968", "2", "2", "MN45TYU", "1450", "10135.50", "", "2023-01-05 16:20:22", "2023-01-18", "2023-02-01", "COMPLETED"),
("7969", "4", "3", "AB12XYZ", "850", "1946.50", "", "2023-01-06 15:32:35", "2023-01-18", "2023-02-01", "COMPLETED"),
("7970", "24", "3", "HG98TRF", "2000", "8980.00", "", "2023-01-07 01:51:41", "2023-01-18", "2023-02-01", "CANCELLED"),
("7971", "9", "4", "MN45TYU", "1800", "12582.00", "some order descriptions here", "2023-01-07 01:55:27", "2023-01-18", "2023-02-01", "COMPLETED"),
("7972", "18", "4", "AB12XYZ", "850", "1946.50", "", "2023-01-07 02:20:38", "2023-01-19", "2023-02-02", "COMPLETED"),
("7973", "7", "3", "MN34DEF", "900", "2691.00", "", "2023-01-07 07:26:40", "2023-01-19", "2023-02-02", "COMPLETED"),
("7974", "6", "3", "QW34ERT", "1800", "10782.00", "", "2023-01-07 11:18:29", "2023-01-19", "2023-02-02", "COMPLETED"),
("7975", "18", "4", "EF56OPQ", "1600", "15984.00", "", "2023-01-07 19:31:35", "2023-01-19", "2023-02-02", "COMPLETED"),
("7976", "24", "2", "OP56GHI", "1900", "10431.00", "some order descriptions here", "2023-01-07 21:22:54", "2023-01-19", "2023-02-02", "COMPLETED"),
("7977", "17", "3", "KL12ABC", "1500", "7185.00", "", "2023-01-09 02:55:55", "2023-01-19", "2023-02-02", "COMPLETED"),
("7978", "5", "3", "ZX67POQ", "1750", "6632.50", "some order descriptions here", "2023-01-10 02:48:58", "2023-01-20", "2023-02-03", "COMPLETED"),
("7979", "20", "4", "IJ90UVW", "1050", "4189.50", "", "2023-01-10 03:32:35", "2023-01-20", "2023-02-03", "COMPLETED"),
("7980", "12", "4", "OP56GHI", "1900", "10431.00", "", "2023-01-11 05:10:43", "2023-01-20", "2023-02-03", "COMPLETED"),
("7981", "23", "4", "PL87KJ9", "1000", "2490.00", "", "2023-01-11 07:17:22", "2023-01-20", "2023-02-03", "COMPLETED"),
("7982", "2", "3", "EF56OPQ", "1850", "18481.50", "", "2023-01-11 07:25:29", "2023-01-20", "2023-02-03", "CANCELLED"),
("7983", "11", "3", "KL12ABC", "100", "479.00", "", "2023-01-11 07:52:43", "2023-01-21", "2023-02-04", "COMPLETED"),
("7984", "11", "3", "CD34LMN", "1450", "2160.50", "", "2023-01-11 10:56:12", "2023-01-21", "2023-02-04", "COMPLETED"),
("7985", "7", "2", "XW34VBN", "850", "4241.50", "some order descriptions here", "2023-01-12 05:56:56", "2023-01-21", "2023-02-04", "COMPLETED"),
("7986", "6", "4", "KL12ABC", "1400", "6706.00", "", "2023-01-12 09:20:52", "2023-01-21", "2023-02-04", "COMPLETED"),
("7987", "13", "2", "RF56KJU", "450", "1480.50", "", "2023-01-12 20:24:03", "2023-01-21", "2023-02-04", "CANCELLED"),
("7988", "10", "4", "GH78RST", "1850", "13856.50", "", "2023-01-12 22:30:34", "2023-01-21", "2023-02-04", "COMPLETED"),
("7989", "25", "2", "CD34LMN", "1750", "2607.50", "some order descriptions here", "2023-01-13 02:19:25", "2023-01-22", "2023-02-05", "COMPLETED"),
("7990", "19", "2", "KL12ABC", "1650", "7903.50", "", "2023-01-13 11:30:05", "2023-01-22", "2023-02-05", "CANCELLED"),
("7991", "8", "4", "YH12BNM", "800", "7192.00", "", "2023-01-13 17:42:58", "2023-01-22", "2023-02-05", "COMPLETED"),
("7992", "20", "3", "YH12BNM", "400", "3596.00", "some order descriptions here", "2023-01-13 22:59:23", "2023-01-22", "2023-02-05", "COMPLETED"),
("7993", "10", "2", "PO89BVC", "1100", "1969.00", "", "2023-01-13 23:36:20", "2023-01-22", "2023-02-05", "COMPLETED"),
("7994", "12", "3", "QW34ERT", "500", "2995.00", "", "2023-01-14 07:37:26", "2023-01-22", "2023-02-05", "COMPLETED"),
("7995", "20", "4", "RF56KJU", "450", "1480.50", "", "2023-01-14 14:17:33", "2023-01-22", "2023-02-05", "COMPLETED"),
("7996", "25", "2", "GH78RST", "400", "2996.00", "", "2023-01-14 16:14:59", "2023-01-23", "2023-02-06", "COMPLETED"),
("7997", "11", "3", "XW34VBN", "250", "1247.50", "", "2023-01-15 11:11:59", "2023-01-23", "2023-02-06", "COMPLETED"),
